Ticker,Yahoo,Name
MMM,MMM,3M Co
AOS,AOS,A O Smith Corp
ABT,ABT,Abbott Laboratories
ABBV,ABBV,AbbVie Inc
ABMD,ABMD,ABIOMED Inc
ACN,ACN,Accenture PLC
ATVI,ATVI,Activision Blizzard Inc
ADBE,ADBE,Adobe Inc
AAP,AAP,Advance Auto Parts Inc
AMD,AMD,Advanced Micro Devices Inc
AFRM,AFRM,Affirm Holdings Inc
AFL,AFL,Aflac Inc
A,A,Agilent Technologies Inc
APD,APD,Air Products and Chemicals Inc
ABNB,ABNB,Airbnb Inc
AKAM,AKAM,Akamai Technologies Inc
ALB,ALB,Albemarle Corp
ARE,ARE,Alexandria Real Estate Equities Inc
ALGN,ALGN,Align Technology Inc
Y,Y,Alleghany Corp
LNT,LNT,Alliant Energy Corp
ALL,ALL,Allstate Corp
ALLY,ALLY,Ally Financial Inc
ALNY,ALNY,Alnylam Pharmaceuticals Inc
GOOGL,GOOGL,Alphabet Inc-Cl A
GOOG,GOOG,Alphabet Inc-Cl C
MO,MO,Altria Group Inc
AMZN,AMZN,Amazon.com Inc
AMCR,AMCR,Amcor PLC
DOX,DOX,Amdocs Ltd
AEE,AEE,Ameren Corp
AEP,AEP,American Electric Power Co Inc
AXP,AXP,American Express Co
AIG,AIG,American International Group Inc
AMT,AMT,American Tower Corp
AWK,AWK,American Water Works Co Inc
AMP,AMP,Ameriprise Financial Inc
ABC,ABC,AmerisourceBergen Corp
AME,AME,AMETEK Inc
AMGN,AMGN,Amgen Inc
APH,APH,Amphenol Corp
ADI,ADI,Analog Devices Inc
NLY,NLY,Annaly Capital Management Inc
ANSS,ANSS,ANSYS Inc
AON,AON,Aon PLC
APO,APO,Apollo Global Management Inc
AAPL,AAPL,Apple Inc
AMAT,AMAT,Applied Materials Inc
APP,APP,AppLovin Corp
APTV,APTV,Aptiv PLC
ACGL,ACGL,Arch Capital Group Ltd
ADM,ADM,Archer-Daniels-Midland Co
ANET,ANET,Arista Networks Inc
AJG,AJG,Arthur J Gallagher & Co
T,T,AT&T Inc
TEAM,TEAM,Atlassian Corp PLC
ATO,ATO,Atmos Energy Corp
ADSK,ADSK,Autodesk Inc
ADP,ADP,Automatic Data Processing Inc
AZO,AZO,AutoZone Inc
AVB,AVB,AvalonBay Communities Inc
AGR,AGR,Avangrid Inc
AVTR,AVTR,Avantor Inc
BKR,BKR,Baker Hughes Co
BALL,BALL,Ball Corp
BAC,BAC,Bank of America Corp
BK,BK,Bank of New York Mellon Corp
BAX,BAX,Baxter International Inc
BDX,BDX,Becton Dickinson and Co
BRK/B,BRK-B,Berkshire Hathaway Inc
BBY,BBY,Best Buy Co Inc
BILL,BILL,Bill.com Holdings Inc
BIIB,BIIB,Biogen Inc
BMRN,BMRN,BioMarin Pharmaceutical Inc
BLK,BLK,BlackRock Inc
BX,BX,Blackstone Inc
SQ,SQ,Block Inc
BA,BA,Boeing Co
BKNG,BKNG,Booking Holdings Inc
BXP,BXP,Boston Properties Inc
BSX,BSX,Boston Scientific Corp
BMY,BMY,Bristol-Myers Squibb Co
AVGO,AVGO,Broadcom Inc
BR,BR,Broadridge Financial Solutions Inc
BF/A,BF-A,Brown-Forman Corp
BF/B,BF-B,Brown-Forman Corp
BURL,BURL,Burlington Stores Inc
CDNS,CDNS,Cadence Design Systems Inc
CZR,CZR,Caesars Entertainment Inc
CPB,CPB,Campbell Soup Co
COF,COF,Capital One Financial Corp
CAH,CAH,Cardinal Health Inc
KMX,KMX,CarMax Inc
CCL,CCL,Carnival Corp
CARR,CARR,Carrier Global Corp
CVNA,CVNA,Carvana Co
CTLT,CTLT,Catalent Inc
CAT,CAT,Caterpillar Inc
CBOE,CBOE,Cboe Global Markets Inc
CBRE,CBRE,CBRE Group Inc
CDW,CDW,CDW Corp
CE,CE,Celanese Corp
CNC,CNC,Centene Corp
CNP,CNP,CenterPoint Energy Inc
CHRW,CHRW,CH Robinson Worldwide Inc
SCHW,SCHW,Charles Schwab Corp
