ticker,yahoo_ticker,name
PVH,PVH,PVH CORP
FOX,FOX,FOX CORP - CLASS B
RL,RL,RALPH LAUREN CORP
IPGP,IPGP,IPG PHOTONICS CORP
UA,UA,UNDER ARMOUR INC-CLASS C
UAA,UAA,UNDER ARMOUR INC-CLASS A
NWS,NWS,NEWS CORP - CLASS B
PNR,PNR,PENTAIR PLC
FRT,FRT,FEDERAL REALTY INVS TRUST
MHK,MHK,MOHAWK INDUSTRIES INC
TPR,TPR,TAPESTRY INC
AOS,AOS,SMITH (A.O.) CORP
ROL,ROL,ROLLINS INC
NCLH,NCLH,NORWEGIAN CRUISE LINE HOLDIN
CDAY,CDAY,CERIDIAN HCM HOLDING INC
DXC,DXC,DXC TECHNOLOGY CO
WYNN,WYNN,WYNN RESORTS LTD
BEN,BEN,FRANKLIN RESOURCES INC
NWSA,NWSA,NEWS CORP - CLASS A
DVA,DVA,DAVITA INC
ALK,ALK,ALASKA AIR GROUP INC
IVZ,IVZ,INVESCO LTD
VNO,VNO,VORNADO REALTY TRUST
PENN,PENN,PENN NATIONAL GAMING INC
DISH,DISH,DISH NETWORK CORP-A
AAL,AAL,AMERICAN AIRLINES GROUP INC
NI,NI,NISOURCE INC
RE,RE,EVEREST RE GROUP LTD
NDSN,NDSN,NORDSON CORP
WHR,WHR,WHIRLPOOL CORP
ETSY,ETSY,ETSY INC
BIO,BIO,BIO-RAD LABORATORIES-A
AIZ,AIZ,ASSURANT INC
FOXA,FOXA,FOX CORP - CLASS A
RHI,RHI,ROBERT HALF INTL INC
CMA,CMA,COMERICA INC
FFIV,FFIV,F5 INC
PHM,PHM,PULTEGROUP INC
REG,REG,REGENCY CENTERS CORP
JNPR,JNPR,JUNIPER NETWORKS INC
ALLE,ALLE,ALLEGION PLC
NRG,NRG,NRG ENERGY INC
LUMN,LUMN,LUMEN TECHNOLOGIES INC
CPB,CPB,CAMPBELL SOUP CO
TAP,TAP,MOLSON COORS BEVERAGE CO - B
MKTX,MKTX,MARKETAXESS HOLDINGS INC
SEE,SEE,SEALED AIR CORP
FBHS,FBHS,FORTUNE BRANDS HOME & SECURI
