Ticker,Yahoo,Name
MMM,MMM,3M Co
AOS,AOS,A O Smith Corp
ABT,ABT,Abbott Laboratories
ABBV,ABBV,AbbVie Inc
ABMD,ABMD,ABIOMED Inc
ACHC,ACHC,Acadia Healthcare Co Inc
ACN,ACN,Accenture PLC
ATVI,ATVI,Activision Blizzard Inc
AYI,AYI,Acuity Brands Inc
ADBE,ADBE,Adobe Inc
ADT,ADT,ADT Inc
AAP,AAP,Advance Auto Parts Inc
WMS,WMS,Advanced Drainage Systems Inc
AMD,AMD,Advanced Micro Devices Inc
ACM,ACM,AECOM
AES,AES,AES Corp
AMG,AMG,Affiliated Managers Group Inc
AFRM,AFRM,Affirm Holdings Inc
AFL,AFL,Aflac Inc
AGCO,AGCO,AGCO Corp
A,A,Agilent Technologies Inc
AGL,AGL,agilon health Inc
AGNC,AGNC,AGNC Investment Corp
ADC,ADC,Agree Realty Corp
AL,AL,Air Lease Corp
APD,APD,Air Products and Chemicals Inc
AKAM,AKAM,Akamai Technologies Inc
ALK,ALK,Alaska Air Group Inc
ALB,ALB,Albemarle Corp
ACI,ACI,Albertsons Cos Inc
AA,AA,Alcoa Corp
ARE,ARE,Alexandria Real Estate Equities Inc
ALGN,ALGN,Align Technology Inc
Y,Y,Alleghany Corp
ALLE,ALLE,Allegion plc
LNT,LNT,Alliant Energy Corp
ALL,ALL,Allstate Corp
ALNY,ALNY,Alnylam Pharmaceuticals Inc
GOOGL,GOOGL,Alphabet Inc-Cl A
GOOG,GOOG,Alphabet Inc-Cl C
MO,MO,Altria Group Inc
AMZN,AMZN,Amazon.com Inc
APE,APE,AMC Entertainment Holdings Inc
AMCR,AMCR,Amcor PLC
DOX,DOX,Amdocs Ltd
AMED,AMED,Amedisys Inc
UHAL,UHAL,AMERCO
AEE,AEE,Ameren Corp
AEP,AEP,American Electric Power Co Inc
AXP,AXP,American Express Co
AFG,AFG,American Financial Group Inc
AMH,AMH,American Homes 4 Rent
AIG,AIG,American International Group Inc
AMT,AMT,American Tower Corp
AWK,AWK,American Water Works Co Inc
COLD,COLD,Americold Realty Trust Inc
AMP,AMP,Ameriprise Financial Inc
ABC,ABC,AmerisourceBergen Corp
AME,AME,AMETEK Inc
AMGN,AMGN,Amgen Inc
APH,APH,Amphenol Corp
ADI,ADI,Analog Devices Inc
NLY,NLY,Annaly Capital Management Inc
ANSS,ANSS,ANSYS Inc
AR,AR,Antero Resources Corp
AON,AON,Aon PLC
APA,APA,APA Corp
AIRC,AIRC,Apartment Income REIT Corp
APO,APO,Apollo Global Management Inc
APPN,APPN,Appian Corp
AAPL,AAPL,Apple Inc
AMAT,AMAT,Applied Materials Inc
ATR,ATR,AptarGroup Inc
APTV,APTV,Aptiv PLC
ARMK,ARMK,Aramark
ACGL,ACGL,Arch Capital Group Ltd
ADM,ADM,Archer-Daniels-Midland Co
ARES,ARES,Ares Management Corp
ANET,ANET,Arista Networks Inc
ARW,ARW,Arrow Electronics Inc
ARWR,ARWR,Arrowhead Pharmaceuticals Inc
AJG,AJG,Arthur J Gallagher & Co
ASAN,ASAN,Asana Inc
ASGN,ASGN,ASGN Inc
ASH,ASH,Ashland Inc
AZPN,AZPN,Aspen Technology Inc
AIZ,AIZ,Assurant Inc
T,T,AT&T Inc
TEAM,TEAM,Atlassian Corp PLC
ATO,ATO,Atmos Energy Corp
ADSK,ADSK,Autodesk Inc
ALV,ALV,Autoliv Inc
ADP,ADP,Automatic Data Processing Inc
AN,AN,AutoNation Inc
AZO,AZO,AutoZone Inc
AVLR,AVLR,Avalara Inc
AVB,AVB,AvalonBay Communities Inc
AGR,AGR,Avangrid Inc
AVY,AVY,Avery Dennison Corp
AXTA,AXTA,Axalta Coating Systems Ltd
AXON,AXON,Axon Enterprise Inc
AZTA,AZTA,Azenta Inc
BALL,BALL,Ball Corp
BAC,BAC,Bank of America Corp
BK,BK,Bank of New York Mellon Corp
BBWI,BBWI,Bath & Body Works Inc
BAX,BAX,Baxter International Inc
